Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:50:08] 	2.580	+0.050	+2.0	1	2.680	2.580	186	2.600	2.560
[12:55:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:56:24] 	2.580	+0.050	+2.0	1	2.680	2.580	186	2.600	2.560
[13:31:01] 	2.580	+0.050	+2.0	1	2.680	2.560	3	2.600	2.560
[13:35:17] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:36:21] 	2.580	+0.050	+2.0	1	2.680	2.560	3	2.600	2.560
[13:44:27] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:45:52] 	2.580	+0.050	+2.0	1	2.680	2.560	3	2.600	2.560
[13:50:17] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:51:22] 	2.580	+0.050	+2.0	1	2.680	2.560	3	2.600	2.560
[14:00:26] 	2.580	+0.050	+2.0	329	2.580	2.590	1,072	2.600	2.560
[14:01:43] 	2.580	+0.050	+2.0	246	2.580	2.590	588	2.600	2.560
[14:03:09] 	2.580	+0.050	+2.0	360	2.580	2.590	689	2.600	2.560
[14:04:12] 	2.580	+0.050	+2.0	361	2.580	2.590	689	2.600	2.560
[14:05:16] 	2.590	+0.060	+2.4	361	2.580	2.590	588	2.600	2.560
[14:06:19] 	2.580	+0.050	+2.0	761	2.580	2.590	372	2.600	2.560
[14:07:22] 	2.580	+0.050	+2.0	617	2.580	2.590	192	2.600	2.560
[14:08:30] 	2.590	+0.060	+2.4	602	2.580	2.590	142	2.600	2.560
[14:09:33] 	2.590	+0.060	+2.4	592	2.580	2.590	144	2.600	2.560
[14:10:42] 	2.590	+0.060	+2.4	593	2.580	2.590	155	2.600	2.560
[14:11:45] 	2.590	+0.060	+2.4	595	2.580	2.590	355	2.600	2.560
[14:13:16] 	2.590	+0.060	+2.4	595	2.580	2.590	366	2.600	2.560
[14:16:14] 	2.590	+0.060	+2.4	596	2.580	2.590	352	2.600	2.560
[14:17:23] 	2.590	+0.060	+2.4	596	2.580	2.590	355	2.600	2.560
[14:18:25] 	2.580	+0.050	+2.0	511	2.580	2.590	353	2.600	2.560
[14:20:45] 	2.580	+0.050	+2.0	508	2.580	2.590	350	2.600	2.560
[14:21:48] 	2.580	+0.050	+2.0	508	2.580	2.590	352	2.600	2.560
[14:22:51] 	2.580	+0.050	+2.0	75	2.580	2.590	403	2.600	2.560
[14:24:00] 	2.580	+0.050	+2.0	1	2.580	2.590	395	2.600	2.560
[14:25:12] 	2.580	+0.050	+2.0	218	2.570	2.580	5	2.600	2.560
[14:25:17] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:26:41] 	2.580	+0.050	+2.0	218	2.570	2.580	42	2.600	2.560
[14:27:54] 	2.580	+0.050	+2.0	218	2.570	2.580	50	2.600	2.560
[14:28:57] 	2.580	+0.050	+2.0	218	2.570	2.580	53	2.600	2.560
[14:31:13] 	2.580	+0.050	+2.0	220	2.570	2.580	53	2.600	2.560
[14:32:16] 	2.580	+0.050	+2.0	215	2.570	2.580	50	2.600	2.560
[14:33:21] 	2.580	+0.050	+2.0	222	2.570	2.580	53	2.600	2.560
[14:34:24] 	2.580	+0.050	+2.0	223	2.570	2.580	53	2.600	2.560
