Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:51:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:35:04] 	8.380	+0.250	+3.1	130	8.380	8.390	50	8.420	8.150
[15:36:22] 	8.390	+0.260	+3.2	51	8.380	8.390	32	8.420	8.150
[15:37:31] 	8.380	+0.250	+3.1	56	8.380	8.390	32	8.420	8.150
[15:38:35] 	8.380	+0.250	+3.1	54	8.380	8.390	33	8.420	8.150
[15:39:41] 	8.380	+0.250	+3.1	50	8.380	8.390	26	8.420	8.150
[15:40:45] 	8.380	+0.250	+3.1	100	8.380	8.390	24	8.420	8.150
[15:41:53] 	8.390	+0.260	+3.2	47	8.380	8.390	19	8.420	8.150
[15:43:07] 	8.400	+0.270	+3.3	25	8.390	8.400	175	8.420	8.150
[15:44:14] 	8.400	+0.270	+3.3	33	8.390	8.400	174	8.420	8.150
[15:45:21] 	8.400	+0.270	+3.3	28	8.390	8.400	179	8.420	8.150
[15:46:25] 	8.400	+0.270	+3.3	32	8.390	8.400	181	8.420	8.150
[15:47:29] 	8.400	+0.270	+3.3	22	8.390	8.400	197	8.420	8.150
[15:48:34] 	8.400	+0.270	+3.3	26	8.390	8.400	198	8.420	8.150
[15:49:37] 	8.400	+0.270	+3.3	29	8.390	8.400	204	8.420	8.150
[15:51:02] 	8.390	+0.260	+3.2	48	8.390	8.400	202	8.420	8.150
[15:52:06] 	8.400	+0.270	+3.3	49	8.390	8.400	226	8.420	8.150
[15:53:15] 	8.390	+0.260	+3.2	45	8.390	8.400	227	8.420	8.150
[15:54:23] 	8.400	+0.270	+3.3	40	8.390	8.400	229	8.420	8.150
[15:55:31] 	8.400	+0.270	+3.3	47	8.390	8.400	228	8.420	8.150
[15:56:35] 	8.400	+0.270	+3.3	56	8.390	8.400	222	8.420	8.150
[15:57:44] 	8.390	+0.260	+3.2	58	8.390	8.400	227	8.420	8.150
[15:58:48] 	8.390	+0.260	+3.2	52	8.390	8.400	229	8.420	8.150
[15:59:52] 	8.390	+0.260	+3.2	17	8.390	8.400	227	8.420	8.150
[16:01:16] 	8.390	+0.260	+3.2	15	8.390	8.400	237	8.420	8.150
[16:02:21] 	8.390	+0.260	+3.2	59	8.380	8.390	10	8.420	8.150
[16:03:34] 	8.390	+0.260	+3.2	44	8.390	8.400	229	8.420	8.150
[16:04:31] 	8.390	+0.260	+3.2	74	8.390	8.400	238	8.420	8.150
[16:05:05] 	8.400	+0.270	+3.3	76	8.390	8.400	227	8.420	8.150
[16:06:13] 	8.390	+0.260	+3.2	82	8.390	8.400	233	8.420	8.150
[16:07:08] 	8.390	+0.260	+3.2	74	8.390	8.400	256	8.420	8.150
[16:08:12] 	8.390	+0.260	+3.2	85	8.390	8.400	257	8.420	8.150
[16:09:26] 	8.400	+0.270	+3.3	73	8.390	8.400	249	8.420	8.150
[16:10:41] 	8.390	+0.260	+3.2	104	8.390	8.400	245	8.420	8.150
[16:11:50] 	8.400	+0.270	+3.3	122	8.390	8.400	249	8.420	8.150
[16:12:58] 	8.400	+0.270	+3.3	122	8.390	8.400	237	8.420	8.150
[16:14:16] 	8.400	+0.270	+3.3	131	8.390	8.400	247	8.420	8.150
[16:15:21] 	8.390	+0.260	+3.2	129	8.390	8.400	248	8.420	8.150
[16:16:24] 	8.390	+0.260	+3.2	138	8.390	8.400	240	8.420	8.150
[16:17:28] 	8.390	+0.260	+3.2	134	8.390	8.400	244	8.420	8.150
[16:18:36] 	8.400	+0.270	+3.3	125	8.390	8.400	241	8.420	8.150
[16:19:45] 	8.400	+0.270	+3.3	133	8.390	8.400	241	8.420	8.150
[16:20:41] 	8.390	+0.260	+3.2	124	8.390	8.400	141	8.420	8.150
[16:21:40] 	8.390	+0.260	+3.2	118	8.390	8.400	198	8.420	8.150
[16:22:48] 	8.400	+0.270	+3.3	118	8.390	8.400	160	8.420	8.150
[16:23:44] 	8.390	+0.260	+3.2	119	8.390	8.400	177	8.420	8.150
[16:24:43] 	8.390	+0.260	+3.2	110	8.390	8.400	175	8.420	8.150
[16:25:49] 	8.390	+0.260	+3.2	119	8.390	8.400	205	8.420	8.150
[16:26:52] 	8.390	+0.260	+3.2	137	8.390	8.400	208	8.420	8.150
[16:28:06] 	8.390	+0.260	+3.2	125	8.390	8.400	217	8.420	8.150
[16:29:59] 	8.400	+0.270	+3.3	127	8.390	8.400	207	8.420	8.150
[16:31:02] 	8.390	+0.260	+3.2	124	8.390	8.400	210	8.420	8.150
[16:32:16] 	8.390	+0.260	+3.2	115	8.390	8.400	215	8.420	8.150
[16:33:25] 	8.390	+0.260	+3.2	153	8.390	8.400	223	8.420	8.150
[16:34:32] 	8.390	+0.260	+3.2	154	8.390	8.400	219	8.420	8.150
[16:35:40] 	8.390	+0.260	+3.2	147	8.390	8.400	218	8.420	8.150
[16:36:44] 	8.400	+0.270	+3.3	140	8.390	8.400	216	8.420	8.150
[16:37:49] 	8.400	+0.270	+3.3	142	8.390	8.400	213	8.420	8.150
[16:39:06] 	8.400	+0.270	+3.3	145	8.390	8.400	274	8.420	8.150
[16:40:14] 	8.390	+0.260	+3.2	142	8.390	8.400	264	8.420	8.150
[16:41:18] 	8.400	+0.270	+3.3	127	8.390	8.400	272	8.420	8.150
[16:42:21] 	8.390	+0.260	+3.2	49	8.380	8.390	70	8.420	8.150
[16:42:55] 	8.380	+0.250	+3.1	52	8.370	8.380	4	8.420	8.150
[16:44:25] 	8.380	+0.250	+3.1	64	8.370	8.380	51	8.420	8.150
[16:45:29] 	8.380	+0.250	+3.1	82	8.370	8.380	40	8.420	8.150
[16:46:35] 	8.380	+0.250	+3.1	73	8.370	8.380	53	8.420	8.150
[16:47:46] 	8.380	+0.250	+3.1	52	8.370	8.380	53	8.420	8.150
[16:48:51] 	8.380	+0.250	+3.1	50	8.370	8.390	87	8.420	8.150
[16:50:03] 	8.390	+0.260	+3.2	36	8.380	8.390	80	8.420	8.150
