Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:55:48] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:11:20] 	2.650	-0.090	-3.3	215	2.650	2.660	358	2.770	2.590
[15:12:26] 	2.650	-0.090	-3.3	218	2.650	2.660	358	2.770	2.590
[15:13:31] 	2.650	-0.090	-3.3	218	2.650	2.660	367	2.770	2.590
[15:14:35] 	2.650	-0.090	-3.3	249	2.650	2.660	359	2.770	2.590
[15:15:50] 	2.650	-0.090	-3.3	249	2.650	2.660	345	2.770	2.590
[15:17:03] 	2.640	-0.100	-3.6	221	2.640	2.650	259	2.770	2.590
[15:18:07] 	2.650	-0.090	-3.3	214	2.640	2.650	256	2.770	2.590
[15:18:54] 	2.650	-0.090	-3.3	225	2.640	2.650	261	2.770	2.590
[15:20:45] 	2.640	-0.100	-3.6	257	2.640	2.650	273	2.770	2.590
[15:21:50] 	2.640	-0.100	-3.6	257	2.640	2.650	306	2.770	2.590
[15:22:55] 	2.640	-0.100	-3.6	302	2.640	2.650	244	2.770	2.590
[15:24:04] 	2.640	-0.100	-3.6	300	2.640	2.650	237	2.770	2.590
[15:26:19] 	2.640	-0.100	-3.6	226	2.640	2.650	149	2.770	2.590
[15:27:27] 	2.650	-0.090	-3.3	228	2.640	2.650	112	2.770	2.590
[15:28:31] 	2.650	-0.090	-3.3	211	2.650	2.660	353	2.770	2.590
[15:29:39] 	2.650	-0.090	-3.3	217	2.650	2.660	357	2.770	2.590
[15:30:56] 	2.650	-0.090	-3.3	208	2.650	2.660	363	2.770	2.590
[15:32:05] 	2.650	-0.090	-3.3	101	2.650	2.660	359	2.770	2.590
[15:33:20] 	2.650	-0.090	-3.3	138	2.650	2.660	361	2.770	2.590
[15:34:24] 	2.650	-0.090	-3.3	123	2.650	2.660	362	2.770	2.590
[15:35:42] 	2.650	-0.090	-3.3	204	2.650	2.660	354	2.770	2.590
[15:38:00] 	2.650	-0.090	-3.3	304	2.650	2.660	362	2.770	2.590
[15:39:19] 	2.650	-0.090	-3.3	314	2.650	2.660	362	2.770	2.590
[15:40:33] 	2.650	-0.090	-3.3	314	2.650	2.660	366	2.770	2.590
[15:41:39] 	2.660	-0.080	-2.9	314	2.650	2.660	370	2.770	2.590
[15:43:09] 	2.650	-0.090	-3.3	381	2.650	2.660	395	2.770	2.590
[15:44:17] 	2.650	-0.090	-3.3	395	2.650	2.660	389	2.770	2.590
[15:46:29] 	2.660	-0.080	-2.9	395	2.650	2.660	391	2.770	2.590
[15:47:33] 	2.660	-0.080	-2.9	395	2.650	2.660	390	2.770	2.590
[15:48:47] 	2.660	-0.080	-2.9	435	2.650	2.660	237	2.770	2.590
[15:50:07] 	2.660	-0.080	-2.9	254	2.660	2.670	302	2.770	2.590
[15:52:14] 	2.660	-0.080	-2.9	327	2.660	2.670	304	2.770	2.590
[15:53:23] 	2.660	-0.080	-2.9	329	2.660	2.670	306	2.770	2.590
[15:54:12] 	2.670	-0.070	-2.6	327	2.660	2.670	303	2.770	2.590
[15:55:25] 	2.660	-0.080	-2.9	324	2.660	2.670	302	2.770	2.590
[15:56:29] 	2.670	-0.070	-2.6	325	2.660	2.670	410	2.770	2.590
[15:57:34] 	2.670	-0.070	-2.6	319	2.660	2.670	422	2.770	2.590
[15:58:40] 	2.670	-0.070	-2.6	293	2.660	2.670	421	2.770	2.590
[15:59:48] 	2.670	-0.070	-2.6	283	2.660	2.670	411	2.770	2.590
[16:00:52] 	2.660	-0.080	-2.9	254	2.660	2.670	308	2.770	2.590
[16:02:24] 	2.660	-0.080	-2.9	246	2.660	2.670	290	2.770	2.590
[16:03:46] 	2.660	-0.080	-2.9	280	2.660	2.670	263	2.770	2.590
[16:04:44] 	2.670	-0.070	-2.6	385	2.660	2.670	255	2.770	2.590
[16:05:15] 	2.670	-0.070	-2.6	386	2.660	2.670	245	2.770	2.590
[16:06:29] 	2.670	-0.070	-2.6	389	2.660	2.670	215	2.770	2.590
[16:06:59] 	2.670	-0.070	-2.6	390	2.660	2.670	350	2.770	2.590
[16:08:38] 	2.670	-0.070	-2.6	389	2.660	2.670	354	2.770	2.590
[16:09:43] 	2.660	-0.080	-2.9	435	2.660	2.670	391	2.770	2.590
[16:10:51] 	2.660	-0.080	-2.9	425	2.660	2.670	569	2.770	2.590
[16:11:57] 	2.660	-0.080	-2.9	188	2.660	2.670	675	2.770	2.590
[16:13:13] 	2.680	-0.060	-2.2	449	2.670	2.680	662	2.770	2.590
[16:14:07] 	2.670	-0.070	-2.6	485	2.670	2.680	681	2.770	2.590
[16:15:23] 	2.670	-0.070	-2.6	471	2.670	2.680	696	2.770	2.590
[16:17:00] 	2.670	-0.070	-2.6	529	2.670	2.680	597	2.770	2.590
[16:18:14] 	2.680	-0.060	-2.2	757	2.670	2.680	109	2.770	2.590
[16:19:07] 	2.690	-0.050	-1.8	277	2.680	2.690	591	2.770	2.590
[16:20:11] 	2.680	-0.060	-2.2	387	2.680	2.690	508	2.770	2.590
[16:21:15] 	2.680	-0.060	-2.2	374	2.680	2.690	570	2.770	2.590
[16:22:19] 	2.680	-0.060	-2.2	360	2.680	2.690	601	2.770	2.590
[16:23:00] 	2.680	-0.060	-2.2	353	2.680	2.690	592	2.770	2.590
[16:24:18] 	2.680	-0.060	-2.2	367	2.680	2.690	591	2.770	2.590
[16:25:11] 	2.690	-0.050	-1.8	367	2.680	2.690	589	2.770	2.590
[16:26:32] 	2.690	-0.050	-1.8	370	2.680	2.690	561	2.770	2.590
[16:27:48] 	2.690	-0.050	-1.8	365	2.680	2.690	565	2.770	2.590
[16:29:17] 	2.680	-0.060	-2.2	637	2.670	2.680	306	2.770	2.590
[16:30:20] 	2.680	-0.060	-2.2	639	2.670	2.680	480	2.770	2.590
[16:31:29] 	2.670	-0.070	-2.6	449	2.670	2.680	487	2.770	2.590
[16:32:06] 	2.670	-0.070	-2.6	208	2.660	2.670	62	2.770	2.590
[16:33:12] 	2.660	-0.080	-2.9	400	2.660	2.670	62	2.770	2.590
[16:34:02] 	2.670	-0.070	-2.6	402	2.660	2.670	110	2.770	2.590
[16:35:12] 	2.670	-0.070	-2.6	404	2.660	2.670	126	2.770	2.590
[16:36:21] 	2.660	-0.080	-2.9	407	2.660	2.670	166	2.770	2.590
[16:37:25] 	2.670	-0.070	-2.6	353	2.660	2.670	163	2.770	2.590
[16:38:34] 	2.670	-0.070	-2.6	184	2.660	2.670	221	2.770	2.590
[16:40:05] 	2.650	-0.090	-3.3	285	2.650	2.660	150	2.770	2.590
[16:41:09] 	2.670	-0.070	-2.6	495	2.660	2.670	179	2.770	2.590
[16:42:13] 	2.680	-0.060	-2.2	346	2.670	2.680	495	2.770	2.590
[16:43:55] 	2.680	-0.060	-2.2	383	2.670	2.680	721	2.770	2.590
[16:44:58] 	2.670	-0.070	-2.6	465	2.660	2.670	198	2.770	2.590
[16:46:10] 	2.660	-0.080	-2.9	473	2.660	2.670	226	2.770	2.590
[16:47:19] 	2.660	-0.080	-2.9	469	2.660	2.670	235	2.770	2.590
[16:48:17] 	2.670	-0.070	-2.6	358	2.660	2.670	417	2.770	2.590
[16:49:20] 	2.660	-0.080	-2.9	361	2.660	2.670	403	2.770	2.590
[16:50:29] 	2.660	-0.080	-2.9	585	2.660	2.670	414	2.770	2.590
[16:51:37] 	2.660	-0.080	-2.9	578	2.660	2.670	422	2.770	2.590
[16:52:55] 	2.670	-0.070	-2.6	176	2.670	2.680	672	2.770	2.590
[16:53:59] 	2.670	-0.070	-2.6	156	2.670	2.680	674	2.770	2.590
[16:55:04] 	2.670	-0.070	-2.6	101	2.670	2.680	541	2.770	2.590
[16:55:53] 	2.670	-0.070	-2.6	99	2.670	2.680	525	2.770	2.590
[16:57:44] 	2.670	-0.070	-2.6	173	2.670	2.680	490	2.770	2.590
[16:59:26] 	2.670	-0.070	-2.6	252	2.670	2.680	517	2.770	2.590
[17:00:30] 	2.670	-0.070	-2.6	3	2.680	2.670	4	2.770	2.590
[17:01:55] 	2.670	-0.070	-2.6	16	20.000	2.170	16	2.770	2.590
[17:06:30] 	2.670	-0.070	-2.6	353	2.660	2.670	368	2.770	2.590
