Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:32:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:29:05] 	1.380	-0.050	-3.5	316	1.370	1.380	49	1.400	1.350
[16:30:31] 	1.380	-0.050	-3.5	294	1.370	1.380	53	1.400	1.350
[16:31:35] 	1.380	-0.050	-3.5	294	1.370	1.380	61	1.400	1.350
[16:32:46] 	1.380	-0.050	-3.5	295	1.370	1.380	62	1.400	1.350
[16:33:58] 	1.380	-0.050	-3.5	296	1.370	1.380	82	1.400	1.350
[16:36:03] 	1.380	-0.050	-3.5	297	1.370	1.380	87	1.400	1.350
[16:37:07] 	1.380	-0.050	-3.5	298	1.370	1.380	82	1.400	1.350
[16:38:20] 	1.380	-0.050	-3.5	363	1.370	1.380	81	1.400	1.350
[16:39:30] 	1.380	-0.050	-3.5	364	1.370	1.380	166	1.400	1.350
[16:42:42] 	1.380	-0.050	-3.5	364	1.370	1.380	124	1.400	1.350
[16:43:44] 	1.380	-0.050	-3.5	269	1.370	1.380	127	1.400	1.350
[16:44:26] 	1.370	-0.060	-4.2	265	1.370	1.380	128	1.400	1.350
[16:45:44] 	1.380	-0.050	-3.5	264	1.370	1.380	139	1.400	1.350
[16:46:48] 	1.370	-0.060	-4.2	213	1.370	1.380	147	1.400	1.350
[16:47:50] 	1.370	-0.060	-4.2	193	1.370	1.380	150	1.400	1.350
[16:49:08] 	1.370	-0.060	-4.2	177	1.370	1.380	142	1.400	1.350
[16:50:12] 	1.370	-0.060	-4.2	177	1.370	1.380	152	1.400	1.350
[16:51:25] 	1.370	-0.060	-4.2	141	1.370	1.380	179	1.400	1.350
[16:52:27] 	1.360	-0.070	-4.9	29	1.360	1.370	78	1.400	1.350
[16:53:33] 	1.360	-0.070	-4.9	36	1.360	1.370	95	1.400	1.350
[16:54:38] 	1.370	-0.060	-4.2	205	1.360	1.370	195	1.400	1.350
[16:55:50] 	1.380	-0.050	-3.5	111	1.370	1.380	130	1.400	1.350
[16:56:58] 	1.370	-0.060	-4.2	102	1.370	1.380	160	1.400	1.350
[16:57:46] 	1.370	-0.060	-4.2	228	1.370	1.380	160	1.400	1.350
[16:58:37] 	1.380	-0.050	-3.5	228	1.370	1.380	251	1.400	1.350
[16:59:44] 	1.370	-0.060	-4.2	185	1.370	1.380	128	1.400	1.350
[17:00:52] 	1.370	-0.060	-4.2	25	1.600	1.300	1	1.400	1.350
[17:01:59] 	1.370	-0.060	-4.2	25	1.600	1.120	20	1.400	1.350
[17:04:55] 	1.370	-0.060	-4.2	25	1.600	1.120	28	1.400	1.350
[17:05:56] 	1.370	-0.060	-4.2	355	1.370	1.380	188	1.400	1.350
